id,scenario,class_num,project,name-param-samling,AUC-ROC,MCC,path,clf
3320,timewise,5,Hibernate ORM,NB 1e-09 SMOTE,0.52430114,0.025648156,z:\data\prediction_compare_5\timewise_Hibernate ORM_NB 1e-09 SMOTE_10.pk,NB
4220,within,2,Hibernate ORM,NB 1e-09 RUS,0.545455796,0.095866566,z:\data\prediction_compare_2\within_Hibernate ORM_NB 1e-09 RUS_10_.pk,NB
4856,within,3,Hibernate ORM,NB 0.001 NONE,0.538230158,0.062298257,z:\data\prediction_compare_3\within_Hibernate ORM_NB 0.001 NONE_10_.pk,NB
6056,within,5,Hibernate ORM,NB 0.001 NONE,0.53656833,0.055581157,z:\data\prediction_compare_5\within_Hibernate ORM_NB 0.001 NONE_10_.pk,NB
7568,cross,2,Hibernate ORM,NB 0.1 ROS,0.545788651,0.093908228,z:\data\prediction_compare_2\cross_Hibernate ORM_NB 0.1 ROS_10.pk,NB
8420,cross,3,Hibernate ORM,NB 1e-09 NONE,0.510256474,0.023378208,z:\data\prediction_compare_3\cross_Hibernate ORM_NB 1e-09 NONE_10.pk,NB
10220,cross,5,Hibernate ORM,NB 1e-09 RUS,0.504833375,0.011862152,z:\data\prediction_compare_5\cross_Hibernate ORM_NB 1e-09 RUS_10.pk,NB
681,timewise,2,Hadoop HDFS,NB 1 RUS,0.61824394,0.248101842,z:\data\prediction_compare_2\timewise_Hadoop HDFS_NB 1 RUS_10.pk,NB
1233,timewise,3,Hadoop HDFS,NB 1e-07 NONE,0.531415916,0.070345113,z:\data\prediction_compare_3\timewise_Hadoop HDFS_NB 1e-07 NONE_10.pk,NB
3381,timewise,5,Hadoop HDFS,NB 1 SMOTE,0.527222266,0.053192992,z:\data\prediction_compare_5\timewise_Hadoop HDFS_NB 1 SMOTE_10.pk,NB
4221,within,2,Hadoop HDFS,NB 1e-09 RUS,0.629301347,0.261642278,z:\data\prediction_compare_2\within_Hadoop HDFS_NB 1e-09 RUS_10_.pk,NB
4821,within,3,Hadoop HDFS,NB 1e-09 NONE,0.536015032,0.088919797,z:\data\prediction_compare_3\within_Hadoop HDFS_NB 1e-09 NONE_10_.pk,NB
6369,within,5,Hadoop HDFS,NB 0.1 ROS,0.530653981,0.065162584,z:\data\prediction_compare_5\within_Hadoop HDFS_NB 0.1 ROS_10_.pk,NB
7869,cross,2,Hadoop HDFS,NB 0.1 RUS,0.583925319,0.171050776,z:\data\prediction_compare_2\cross_Hadoop HDFS_NB 0.1 RUS_10.pk,NB
9021,cross,3,Hadoop HDFS,NB 1e-09 RUS,0.525794019,0.062449743,z:\data\prediction_compare_3\cross_Hadoop HDFS_NB 1e-09 RUS_10.pk,NB
10221,cross,5,Hadoop HDFS,NB 1e-09 RUS,0.525617856,0.041847935,z:\data\prediction_compare_5\cross_Hadoop HDFS_NB 1e-09 RUS_10.pk,NB
622,timewise,2,Harmony,NB 1e-09 RUS,0.536780218,0.05526716,z:\data\prediction_compare_2\timewise_Harmony_NB 1e-09 RUS_10.pk,NB
1222,timewise,3,Harmony,NB 1e-09 NONE,0.560005622,0.09434508,z:\data\prediction_compare_3\timewise_Harmony_NB 1e-09 NONE_10.pk,NB
3322,timewise,5,Harmony,NB 1e-09 SMOTE,0.549345124,0.06031488,z:\data\prediction_compare_5\timewise_Harmony_NB 1e-09 SMOTE_10.pk,NB
4234,within,2,Harmony,NB 1e-07 RUS,0.63006926,0.162639159,z:\data\prediction_compare_2\within_Harmony_NB 1e-07 RUS_10_.pk,NB
4822,within,3,Harmony,NB 1e-09 NONE,0.540319219,0.087687019,z:\data\prediction_compare_3\within_Harmony_NB 1e-09 NONE_10_.pk,NB
6022,within,5,Harmony,NB 1e-09 NONE,0.525251692,0.050345396,z:\data\prediction_compare_5\within_Harmony_NB 1e-09 NONE_10_.pk,NB
7222,cross,2,Harmony,NB 1e-09 NONE,0.586270589,0.105204067,z:\data\prediction_compare_2\cross_Harmony_NB 1e-09 NONE_10.pk,NB
8422,cross,3,Harmony,NB 1e-09 NONE,0.531321843,0.063394876,z:\data\prediction_compare_3\cross_Harmony_NB 1e-09 NONE_10.pk,NB
10222,cross,5,Harmony,NB 1e-09 RUS,0.512867329,0.031942134,z:\data\prediction_compare_5\cross_Harmony_NB 1e-09 RUS_10.pk,NB
71,timewise,2,HBase,NB 0.1 NONE,0.662730036,0.342179975,z:\data\prediction_compare_2\timewise_HBase_NB 0.1 NONE_10.pk,NB
1223,timewise,3,HBase,NB 1e-09 NONE,0.541574992,0.095349166,z:\data\prediction_compare_3\timewise_HBase_NB 1e-09 NONE_10.pk,NB
2435,timewise,5,HBase,NB 1e-07 NONE,0.525421962,0.049785131,z:\data\prediction_compare_5\timewise_HBase_NB 1e-07 NONE_10.pk,NB
4235,within,2,HBase,NB 1e-07 RUS,0.692235016,0.391628387,z:\data\prediction_compare_2\within_HBase_NB 1e-07 RUS_10_.pk,NB
4823,within,3,HBase,NB 1e-09 NONE,0.569589615,0.153501193,z:\data\prediction_compare_3\within_HBase_NB 1e-09 NONE_10_.pk,NB
6023,within,5,HBase,NB 1e-09 NONE,0.554454255,0.118082215,z:\data\prediction_compare_5\within_HBase_NB 1e-09 NONE_10_.pk,NB
7223,cross,2,HBase,NB 1e-09 NONE,0.528684113,0.060975262,z:\data\prediction_compare_2\cross_HBase_NB 1e-09 NONE_10.pk,NB
8411,cross,3,HBase,NB 0 NONE,0.5,0,z:\data\prediction_compare_3\cross_HBase_NB 0 NONE_10.pk,NB
9611,cross,5,HBase,NB 0 NONE,0.5,0,z:\data\prediction_compare_5\cross_HBase_NB 0 NONE_10.pk,NB
384,timewise,2,ZooKeeper,DT 2 ROS,0.621728337,0.245265486,z:\data\prediction_compare_2\timewise_ZooKeeper_DT 2 ROS_10.pk,DT
2184,timewise,3,ZooKeeper,DT 2 SMOTE,0.552712141,0.107645733,z:\data\prediction_compare_3\timewise_ZooKeeper_DT 2 SMOTE_10.pk,DT
3420,timewise,5,ZooKeeper,DT 14 SMOTE,0.584316662,0.168683898,z:\data\prediction_compare_5\timewise_ZooKeeper_DT 14 SMOTE_10.pk,DT
4296,within,2,ZooKeeper,DT 6 RUS,0.624193017,0.250500793,z:\data\prediction_compare_2\within_ZooKeeper_DT 6 RUS_10_.pk,DT
4884,within,3,ZooKeeper,DT 2 NONE,0.549290725,0.101836517,z:\data\prediction_compare_3\within_ZooKeeper_DT 2 NONE_10_.pk,DT
6132,within,5,ZooKeeper,DT 18 NONE,0.55447036,0.097002307,z:\data\prediction_compare_5\within_ZooKeeper_DT 18 NONE_10_.pk,DT
7284,cross,2,ZooKeeper,DT 2 NONE,0.554613095,0.11990852,z:\data\prediction_compare_2\cross_ZooKeeper_DT 2 NONE_10.pk,DT
8808,cross,3,ZooKeeper,DT 10 ROS,0.536911978,0.075867123,z:\data\prediction_compare_3\cross_ZooKeeper_DT 10 ROS_10.pk,DT
10596,cross,5,ZooKeeper,DT 6 SMOTE,0.520414646,0.033109713,z:\data\prediction_compare_5\cross_ZooKeeper_DT 6 SMOTE_10.pk,DT
697,timewise,2,Hadoop Common,DT 6 RUS,0.615466374,0.219836014,z:\data\prediction_compare_2\timewise_Hadoop Common_DT 6 RUS_10.pk,DT
2185,timewise,3,Hadoop Common,DT 2 SMOTE,0.549360824,0.097898265,z:\data\prediction_compare_3\timewise_Hadoop Common_DT 2 SMOTE_10.pk,DT
3397,timewise,5,Hadoop Common,DT 6 SMOTE,0.538217153,0.071260874,z:\data\prediction_compare_5\timewise_Hadoop Common_DT 6 SMOTE_10.pk,DT
4285,within,2,Hadoop Common,DT 2 RUS,0.672742561,0.34663281,z:\data\prediction_compare_2\within_Hadoop Common_DT 2 RUS_10_.pk,DT
4885,within,3,Hadoop Common,DT 2 NONE,0.573153257,0.147938335,z:\data\prediction_compare_3\within_Hadoop Common_DT 2 NONE_10_.pk,DT
6121,within,5,Hadoop Common,DT 14 NONE,0.557537228,0.119149872,z:\data\prediction_compare_5\within_Hadoop Common_DT 14 NONE_10_.pk,DT
7297,cross,2,Hadoop Common,DT 6 NONE,0.582117957,0.165515127,z:\data\prediction_compare_2\cross_Hadoop Common_DT 6 NONE_10.pk,DT
9097,cross,3,Hadoop Common,DT 6 RUS,0.525585945,0.053594687,z:\data\prediction_compare_3\cross_Hadoop Common_DT 6 RUS_10.pk,DT
9733,cross,5,Hadoop Common,DT 18 NONE,0.520880803,0.044124384,z:\data\prediction_compare_5\cross_Hadoop Common_DT 18 NONE_10.pk,DT
86,timewise,2,Hadoop Map/Reduce,DT 2 NONE,0.609120383,0.220254896,z:\data\prediction_compare_2\timewise_Hadoop MapReduce_DT 2 NONE_10.pk,DT
1310,timewise,3,Hadoop Map/Reduce,DT 10 NONE,0.556149086,0.106088559,z:\data\prediction_compare_3\timewise_Hadoop MapReduce_DT 10 NONE_10.pk,DT
3386,timewise,5,Hadoop Map/Reduce,DT 2 SMOTE,0.551355207,0.091086916,z:\data\prediction_compare_5\timewise_Hadoop MapReduce_DT 2 SMOTE_10.pk,DT
4322,within,2,Hadoop Map/Reduce,DT 14 RUS,0.697671818,0.395568807,z:\data\prediction_compare_2\within_Hadoop MapReduce_DT 14 RUS_10_.pk,DT
4886,within,3,Hadoop Map/Reduce,DT 2 NONE,0.557767359,0.121298082,z:\data\prediction_compare_3\within_Hadoop MapReduce_DT 2 NONE_10_.pk,DT
6110,within,5,Hadoop Map/Reduce,DT 10 NONE,0.570769627,0.126799315,z:\data\prediction_compare_5\within_Hadoop MapReduce_DT 10 NONE_10_.pk,DT
7610,cross,2,Hadoop Map/Reduce,DT 10 ROS,0.616987212,0.234409384,z:\data\prediction_compare_2\cross_Hadoop MapReduce_DT 10 ROS_10.pk,DT
8486,cross,3,Hadoop Map/Reduce,DT 2 NONE,0.526697299,0.050838092,z:\data\prediction_compare_3\cross_Hadoop MapReduce_DT 2 NONE_10.pk,DT
10034,cross,5,Hadoop Map/Reduce,DT 18 ROS,0.526596934,0.04897309,z:\data\prediction_compare_5\cross_Hadoop MapReduce_DT 18 ROS_10.pk,DT
687,timewise,2,Hive,DT 2 RUS,0.562108165,0.114326723,z:\data\prediction_compare_2\timewise_Hive_DT 2 RUS_10.pk,DT
2187,timewise,3,Hive,DT 2 SMOTE,0.552277613,0.089370714,z:\data\prediction_compare_3\timewise_Hive_DT 2 SMOTE_10.pk,DT
3387,timewise,5,Hive,DT 2 SMOTE,0.670031069,0.275148436,z:\data\prediction_compare_5\timewise_Hive_DT 2 SMOTE_10.pk,DT
3687,within,2,Hive,DT 2 NONE,0.633158421,0.266839107,z:\data\prediction_compare_2\within_Hive_DT 2 NONE_10_.pk,DT
4899,within,3,Hive,DT 6 NONE,0.560125316,0.107039549,z:\data\prediction_compare_3\within_Hive_DT 6 NONE_10_.pk,DT
6111,within,5,Hive,DT 10 NONE,0.58213354,0.139226275,z:\data\prediction_compare_5\within_Hive_DT 10 NONE_10_.pk,DT
7611,cross,2,Hive,DT 10 ROS,0.554724524,0.114208234,z:\data\prediction_compare_2\cross_Hive_DT 10 ROS_10.pk,DT
9411,cross,3,Hive,DT 10 SMOTE,0.526627124,0.042013614,z:\data\prediction_compare_3\cross_Hive_DT 10 SMOTE_10.pk,DT
10611,cross,5,Hive,DT 10 SMOTE,0.527206655,0.047496292,z:\data\prediction_compare_5\cross_Hive_DT 10 SMOTE_10.pk,DT
1000,timewise,2,Cassandra,DT 6 SMOTE,0.584087209,0.136116564,z:\data\prediction_compare_2\timewise_Cassandra_DT 6 SMOTE_10.pk,DT
1600,timewise,3,Cassandra,DT 6 ROS,0.560096818,0.120189742,z:\data\prediction_compare_3\timewise_Cassandra_DT 6 ROS_10.pk,DT
3400,timewise,5,Cassandra,DT 6 SMOTE,0.551333236,0.098276181,z:\data\prediction_compare_5\timewise_Cassandra_DT 6 SMOTE_10.pk,DT
4288,within,2,Cassandra,DT 2 RUS,0.573627052,0.087745916,z:\data\prediction_compare_2\within_Cassandra_DT 2 RUS_10_.pk,DT
4888,within,3,Cassandra,DT 2 NONE,0.567519712,0.131236956,z:\data\prediction_compare_3\within_Cassandra_DT 2 NONE_10_.pk,DT
6136,within,5,Cassandra,DT 18 NONE,0.548474799,0.096419979,z:\data\prediction_compare_5\within_Cassandra_DT 18 NONE_10_.pk,DT
8212,cross,2,Cassandra,DT 10 SMOTE,0.549625831,0.060797455,z:\data\prediction_compare_2\cross_Cassandra_DT 10 SMOTE_10.pk,DT
9436,cross,3,Cassandra,DT 18 SMOTE,0.513924876,0.024908515,z:\data\prediction_compare_3\cross_Cassandra_DT 18 SMOTE_10.pk,DT
10636,cross,5,Cassandra,DT 18 SMOTE,0.527322689,0.050376304,z:\data\prediction_compare_5\cross_Cassandra_DT 18 SMOTE_10.pk,DT
389,timewise,2,Camel,DT 2 ROS,0.598271785,0.171057977,z:\data\prediction_compare_2\timewise_Camel_DT 2 ROS_10.pk,DT
1289,timewise,3,Camel,DT 2 NONE,0.571184804,0.132738669,z:\data\prediction_compare_3\timewise_Camel_DT 2 NONE_10.pk,DT
3413,timewise,5,Camel,DT 10 SMOTE,0.546090433,0.082966109,z:\data\prediction_compare_5\timewise_Camel_DT 10 SMOTE_10.pk,DT
4289,within,2,Camel,DT 2 RUS,0.641419884,0.184729376,z:\data\prediction_compare_2\within_Camel_DT 2 RUS_10_.pk,DT
4901,within,3,Camel,DT 6 NONE,0.541713437,0.084549716,z:\data\prediction_compare_3\within_Camel_DT 6 NONE_10_.pk,DT
6089,within,5,Camel,DT 2 NONE,0.563918473,0.117987552,z:\data\prediction_compare_5\within_Camel_DT 2 NONE_10_.pk,DT
7925,cross,2,Camel,DT 14 RUS,0.574673736,0.115607228,z:\data\prediction_compare_2\cross_Camel_DT 14 RUS_10.pk,DT
8513,cross,3,Camel,DT 10 NONE,0.540189252,0.064186644,z:\data\prediction_compare_3\cross_Camel_DT 10 NONE_10.pk,DT
10601,cross,5,Camel,DT 6 SMOTE,0.524697332,0.02876679,z:\data\prediction_compare_5\cross_Camel_DT 6 SMOTE_10.pk,DT
738,timewise,2,OFBiz,DT 18 RUS,0.545512575,0.059873194,z:\data\prediction_compare_2\timewise_OFBiz_DT 18 RUS_10.pk,DT
2190,timewise,3,OFBiz,DT 2 SMOTE,0.543251082,0.085187297,z:\data\prediction_compare_3\timewise_OFBiz_DT 2 SMOTE_10.pk,DT
3414,timewise,5,OFBiz,DT 10 SMOTE,0.540049999,0.077573978,z:\data\prediction_compare_5\timewise_OFBiz_DT 10 SMOTE_10.pk,DT
3726,within,2,OFBiz,DT 14 NONE,0.593030854,0.158253283,z:\data\prediction_compare_2\within_OFBiz_DT 14 NONE_10_.pk,DT
4890,within,3,OFBiz,DT 2 NONE,0.587333668,0.171376234,z:\data\prediction_compare_3\within_OFBiz_DT 2 NONE_10_.pk,DT
6090,within,5,OFBiz,DT 2 NONE,0.600765451,0.201304731,z:\data\prediction_compare_5\within_OFBiz_DT 2 NONE_10_.pk,DT
7926,cross,2,OFBiz,DT 14 RUS,0.533894775,0.040296604,z:\data\prediction_compare_2\cross_OFBiz_DT 14 RUS_10.pk,DT
9390,cross,3,OFBiz,DT 2 SMOTE,0.515684179,0.02935801,z:\data\prediction_compare_3\cross_OFBiz_DT 2 SMOTE_10.pk,DT
9738,cross,5,OFBiz,DT 18 NONE,0.515200951,0.036473773,z:\data\prediction_compare_5\cross_OFBiz_DT 18 NONE_10.pk,DT
